trait,definition,units
UEDVT,Whether the patient had upper extremities deep vein thrombosis (UEDVT) diagnosed throughout the study,
sympt_UEDVT,Whether the UEDVT was incidental or symptomatic,
date_UEDVT,Date of UEDVT,
PE,Whether the patient had pulmonary embolism (PE) diagnosed throughout the study,
sympt_PE,Whether the PE was incidental or symptomatic,
date_PE,Date of PE,
VT,Whether the patient had visceral thrombosis (VT) diagnosed throughout the study,
sympt_VT,Whether the VT was incidental or symptomatic,
date_VT,Date of VT,
SVT,Whether the patient had superficial venous thrombosis (SVT) diagnosed throughout the study,
sympt_SVT,Whether the SVT was incidental or symptomatic,
date_SVT,Date of SVT,
CRT,Whether the patient had catheter-related thrombosis (CRT) diagnosed throughout the study,
sympt_CRT,Whether the CRT was incidental or symptomatic,
date_CRT,Date of CRT,
descr_VTE,Additional description of VTE diagnosed throughout the study,
VTE_rec,Whether patient had VTE recurrence,
VTE_rec_location,Location of VTE recurrence,
date_VTE_rec,Date of VTE recurrence,
descr_VTE_rec,Free text describing VTE recurrence,
age,Age of the patient wrt 2026-01-01,years
