model,random_state,test_size,n_epochs,batch_size,learning_rate,weight_decay,ROC-AUC,PR-AUC,Accuracy
NN+RF,3,0.8,50,16,0.0001,0.0001,0.5190151010437487,0.2993251285539379,0.6932907348242812
NN+RF,2,0.8,50,16,0.0001,0.0001,0.5607650455252055,0.3272248204279851,0.7412140575079872
NN+RF,2,0.8,50,16,0.0001,0.0001,0.5602931379080613,0.2994345026054772,0.744408945686901
NN+RF,2,0.8,50,16,0.0001,0.0001,0.5377248500999335,0.2914727754580065,0.7539936102236422
NN+RF,1,0.8,50,16,0.0001,0.0001,0.5823895180990452,0.2981058681578212,0.7092651757188498
NN+RF,1,0.8,50,16,0.0001,0.0001,0.5239562513879635,0.2570939321775402,0.7476038338658147
NN+RF,1,0.8,50,16,0.0001,0.0001,0.4970575172107484,0.2813959935087258,0.7635782747603834
NN+RF,0,0.8,50,16,0.0001,0.0001,0.5420552964690206,0.2648383839272959,0.7124600638977636
NN+RF,0,0.8,50,16,0.0001,0.0001,0.4523095713968466,0.2308459922947953,0.6996805111821086
NN+RF,0,0.8,50,16,0.0001,0.0001,0.4746835443037974,0.2449348131142885,0.7252396166134185
NN+RF,0,0.3,50,16,0.0001,0.0001,0.6106160402944596,0.3548322499011091,0.7627118644067796
NN+RF,0,0.3,50,16,0.0001,0.0001,0.5530802014722975,0.2830561299077604,0.7288135593220338
NN+RF,0,0.3,50,16,0.0001,0.0001,0.5809763657497095,0.2844602468383145,0.711864406779661
NN+RF,0,0.3,50,16,0.0001,0.0001,0.6189461449050755,0.3712088644803391,0.7457627118644068
NN+RF,0,0.3,50,16,0.0001,0.0001,0.6596280511429677,0.4193331198515664,0.7711864406779662
NN+RF,1,0.3,50,16,0.0001,0.0001,0.6084850833010461,0.3544196398005931,0.7372881355932204
NN+RF,1,0.3,50,16,0.0001,0.0001,0.5030995738086014,0.2635169509900957,0.7288135593220338
NN+RF,1,0.3,50,16,0.0001,0.0001,0.5118171251452925,0.2616836415187454,0.7372881355932204
NN+RF,1,0.3,50,16,0.0001,0.0001,0.5166602092212321,0.3559799690894287,0.7627118644067796
NN+RF,1,0.3,50,16,0.0001,0.0001,0.6388996512979466,0.3788070533527625,0.7372881355932204
NN+RF,2,0.3,50,16,0.0001,0.0001,0.565865943432778,0.3693427376971429,0.7627118644067796
NN+RF,2,0.3,50,16,0.0001,0.0001,0.5081363812475784,0.2911012170881726,0.7457627118644068
NN+RF,2,0.3,50,16,0.0001,0.0001,0.6111972103835723,0.3277154056601455,0.7288135593220338
NN+RF,2,0.3,50,16,0.0001,0.0001,0.6803564509879891,0.4178922533354121,0.7711864406779662
NN+RF,2,0.3,50,16,0.0001,0.0001,0.604804339403332,0.3668659401590788,0.7542372881355932
