model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,lambda_l1,ROC-AUC,PR-AUC,Accuracy,n_layers
Contrastive+Gating_tune,1,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.508108108108108,0.2626478819016215,0.6751918158567775,1
Contrastive+Gating_tune,3,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5516358463726884,0.2909560758338345,0.7033248081841432,1
Contrastive+Gating_tune,4,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5765113798008535,0.3235865703370695,0.680306905370844,1
Contrastive+Gating_tune,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5512091038406829,0.2877386991899597,0.6828644501278772,1
Contrastive+Gating_tune,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5576458036984353,0.2670478308675439,0.6521739130434783,1
Contrastive+Gating_tune,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5591927453769558,0.2805011412951324,0.6956521739130435,1
Contrastive+Gating_tune,10,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.565398293029872,0.3239445147151518,0.7033248081841432,1
Contrastive+Gating_tune,15,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5543563300142247,0.2662014632609832,0.6675191815856778,1
Contrastive+Gating_tune,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5360953058321479,0.2971939196645469,0.710997442455243,1
Contrastive+Gating_tune,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5676564722617354,0.3062442395693455,0.6930946291560103,1
Contrastive+Gating_tune,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5562055476529161,0.2797901395206599,0.670076726342711,1
Contrastive+Gating_tune,1,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5674431009957326,0.2853653702630536,0.6624040920716112,1
Contrastive+Gating_tune,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5833748221906117,0.3131225969707386,0.7263427109974424,1
Contrastive+Gating_tune,3,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.6001422475106686,0.3361517742054435,0.710997442455243,1
Contrastive+Gating_tune,4,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.6163762446657184,0.3363141775815637,0.7161125319693095,1
Contrastive+Gating_tune,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5743598862019914,0.3013959956422556,0.7033248081841432,1
Contrastive+Gating_tune,10,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5509423897581792,0.2815537556546287,0.6854219948849105,1
Contrastive+Gating_tune,15,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5528093883357041,0.2713523540133429,0.6777493606138107,1
Contrastive+Gating_tune,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5251955903271692,0.2681734341422641,0.6726342710997443,1
Contrastive+Gating_tune,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5447190611664295,0.2894026130048945,0.6956521739130435,1
