model,random_state,test_size,ROC-AUC,PR-AUC,Accuracy
Gradient Boosting,3,0.33,0.5822704081632653,0.3094193181859114,0.7230769230769231
Random Forest,4,0.33,0.6747448979591837,0.4728254395468279,0.7692307692307693
Logistic Regression,4,0.33,0.5975765306122449,0.3441812928869172,0.6307692307692307
Gradient Boosting,4,0.33,0.565688775510204,0.326305216810563,0.7384615384615385
Random Forest,4,0.33,0.6747448979591837,0.4728254395468279,0.7692307692307693
Logistic Regression,4,0.33,0.5975765306122449,0.3441812928869172,0.6307692307692307
Gradient Boosting,4,0.33,0.565688775510204,0.326305216810563,0.7384615384615385
Random Forest,4,0.33,0.6747448979591837,0.4728254395468279,0.7692307692307693
Logistic Regression,4,0.33,0.5975765306122449,0.3441812928869172,0.6307692307692307
Gradient Boosting,4,0.33,0.565688775510204,0.326305216810563,0.7384615384615385
Random Forest,5,0.33,0.7197066326530612,0.4140932322213839,0.7461538461538462
Logistic Regression,5,0.33,0.6278698979591837,0.3360005204933849,0.6076923076923076
Gradient Boosting,5,0.33,0.5902423469387755,0.311784243060057,0.7
Random Forest,5,0.33,0.7197066326530612,0.4140932322213839,0.7461538461538462
Logistic Regression,5,0.33,0.6278698979591837,0.3360005204933849,0.6076923076923076
Gradient Boosting,5,0.33,0.5902423469387755,0.311784243060057,0.7
Random Forest,5,0.33,0.7197066326530612,0.4140932322213839,0.7461538461538462
Logistic Regression,5,0.33,0.6278698979591837,0.3360005204933849,0.6076923076923076
Gradient Boosting,5,0.33,0.5902423469387755,0.311784243060057,0.7
Random Forest,21,0.33,0.6310586734693878,0.3942565967228575,0.7538461538461538
Logistic Regression,21,0.33,0.6355229591836734,0.4123882344916841,0.5461538461538461
Gradient Boosting,21,0.33,0.581313775510204,0.3459976872145415,0.676923076923077
Random Forest,21,0.33,0.6310586734693878,0.3942565967228575,0.7538461538461538
Logistic Regression,21,0.33,0.6355229591836734,0.4123882344916841,0.5461538461538461
Gradient Boosting,21,0.33,0.581313775510204,0.3459976872145415,0.676923076923077
Random Forest,21,0.33,0.6310586734693878,0.3942565967228575,0.7538461538461538
Logistic Regression,21,0.33,0.6355229591836734,0.4123882344916841,0.5461538461538461
Gradient Boosting,21,0.33,0.581313775510204,0.3459976872145415,0.676923076923077
Random Forest,42,0.33,0.5776466836734694,0.3504267641258728,0.7384615384615385
Logistic Regression,42,0.33,0.5653698979591837,0.3002112366831475,0.5692307692307692
Gradient Boosting,42,0.33,0.5012755102040817,0.2696397550441911,0.6692307692307692
Random Forest,42,0.33,0.5776466836734694,0.3504267641258728,0.7384615384615385
Logistic Regression,42,0.33,0.5653698979591837,0.3002112366831475,0.5692307692307692
Gradient Boosting,42,0.33,0.5012755102040817,0.2696397550441911,0.6692307692307692
Random Forest,42,0.33,0.5776466836734694,0.3504267641258728,0.7384615384615385
Logistic Regression,42,0.33,0.5653698979591837,0.3002112366831475,0.5692307692307692
Gradient Boosting,42,0.33,0.5012755102040817,0.2696397550441911,0.6692307692307692
Random Forest,0,0.5,0.5655968468468469,0.3070328054677214,0.7448979591836735
Logistic Regression,0,0.5,0.525197072072072,0.2523589716091022,0.5357142857142857
Gradient Boosting,0,0.5,0.4800112612612612,0.2360602902565191,0.673469387755102
Random Forest,0,0.5,0.5655968468468469,0.3070328054677214,0.7448979591836735
Logistic Regression,0,0.5,0.525197072072072,0.2523589716091022,0.5357142857142857
Gradient Boosting,0,0.5,0.4800112612612612,0.2360602902565191,0.673469387755102
Random Forest,0,0.5,0.5655968468468469,0.3070328054677214,0.7448979591836735
Logistic Regression,0,0.5,0.525197072072072,0.2523589716091022,0.5357142857142857
Gradient Boosting,0,0.5,0.4800112612612612,0.2360602902565191,0.673469387755102
Random Forest,1,0.5,0.6018440315315317,0.3342131979031518,0.75
Logistic Regression,1,0.5,0.5339245495495496,0.2962165773476246,0.5561224489795918
Gradient Boosting,1,0.5,0.5088682432432432,0.2716140072086485,0.7295918367346939
Random Forest,1,0.5,0.6018440315315317,0.3342131979031518,0.75
Logistic Regression,1,0.5,0.5339245495495496,0.2962165773476246,0.5561224489795918
Gradient Boosting,1,0.5,0.5088682432432432,0.2716140072086485,0.7295918367346939
Random Forest,1,0.5,0.6018440315315317,0.3342131979031518,0.75
Logistic Regression,1,0.5,0.5339245495495496,0.2962165773476246,0.5561224489795918
Gradient Boosting,1,0.5,0.5088682432432432,0.2716140072086485,0.7295918367346939
Random Forest,2,0.5,0.6138091216216216,0.3456946253868291,0.7602040816326531
Logistic Regression,2,0.5,0.6007882882882882,0.31801939490601,0.6122448979591837
Gradient Boosting,2,0.5,0.5320945945945945,0.2671541856449323,0.6632653061224489
Random Forest,2,0.5,0.6138091216216216,0.3456946253868291,0.7602040816326531
Logistic Regression,2,0.5,0.6007882882882882,0.31801939490601,0.6122448979591837
Gradient Boosting,2,0.5,0.5320945945945945,0.2671541856449323,0.6632653061224489
Random Forest,2,0.5,0.6138091216216216,0.3456946253868291,0.7602040816326531
Logistic Regression,2,0.5,0.6007882882882882,0.31801939490601,0.6122448979591837
Gradient Boosting,2,0.5,0.5320945945945945,0.2671541856449323,0.6632653061224489
Random Forest,3,0.5,0.6020551801801801,0.339894267383278,0.75
Logistic Regression,3,0.5,0.5437781531531531,0.2986911934435031,0.5714285714285714
Gradient Boosting,3,0.5,0.539132882882883,0.3056932594469378,0.7295918367346939
Random Forest,3,0.5,0.6020551801801801,0.339894267383278,0.75
Logistic Regression,3,0.5,0.5437781531531531,0.2986911934435031,0.5714285714285714
Gradient Boosting,3,0.5,0.539132882882883,0.3056932594469378,0.7295918367346939
Random Forest,3,0.5,0.6020551801801801,0.339894267383278,0.75
Logistic Regression,3,0.5,0.5437781531531531,0.2986911934435031,0.5714285714285714
