model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,ROC-AUC,PR-AUC,Accuracy
Contrastive,2,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5599314226507208,0.2889790125365787,0.6999147485080989
Contrastive,2,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5503189593101874,0.2767256572718701,0.7021881216254617
Contrastive,2,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.561284969179706,0.2795945818595691,0.6922421142369991
Contrastive,3,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5469394833429921,0.27920852254918,0.7101449275362319
Contrastive,3,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.556167132044325,0.2850655053597447,0.6933788007956806
Contrastive,3,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5729011906643484,0.2890374453922112,0.6999147485080989
Contrastive,4,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5349105684632001,0.2659638760920726,0.6791702188121626
Contrastive,4,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5512413729518992,0.2835535816008652,0.6953680022733731
Contrastive,4,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5442989041673252,0.2717039641754554,0.6800227337311736
Contrastive,5,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5418187924766872,0.2771454900445094,0.6970730321113953
Contrastive,5,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5484548144635863,0.2758164803027007,0.6959363455527139
Contrastive,5,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5504919393077288,0.2866769762152665,0.6999147485080989
Contrastive,21,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5434039302460355,0.2739237269171224,0.6956521739130435
Contrastive,21,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5417074969706548,0.2663706547459427,0.6979255470304063
Contrastive,21,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5516048943680523,0.2745494866942705,0.710997442455243
Contrastive,42,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5330611313067454,0.2709604844733005,0.6871270247229326
Contrastive,42,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5512881302354986,0.2752023627157362,0.6854219948849105
Contrastive,42,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5426367156630314,0.2797888609208995,0.7061665245808468
Contrastive,42,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5705903271692745,0.2962003679532494,0.690537084398977
Contrastive,42,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5452880512091038,0.2786878564789615,0.680306905370844
Contrastive,0,0.2,100,0.2,32,0.0005,1e-08,300,0.01,0.5406650071123755,0.2702553306321016,0.6675191815856778
Contrastive,1,0.2,100,0.2,32,0.0005,1e-08,300,0.01,0.5380689900426743,0.2784104037861079,0.6854219948849105
Contrastive,2,0.2,100,0.2,32,0.0005,1e-08,300,0.01,0.5124822190611664,0.2546114427471602,0.7033248081841432
Contrastive,3,0.2,100,0.2,32,0.0005,1e-08,300,0.01,0.6024359886201992,0.3429694878037397,0.6982097186700768
Contrastive,4,0.2,100,0.2,32,0.0005,1e-08,300,0.01,0.5720305832147937,0.3111376518167001,0.6751918158567775
Contrastive,5,0.2,100,0.2,32,0.0005,1e-08,300,0.01,0.574093172119488,0.3059324364697222,0.7007672634271099
Contrastive,21,0.2,100,0.2,32,0.0005,1e-08,300,0.01,0.5573968705547653,0.2955595972314907,0.6879795396419437
Contrastive,42,0.2,100,0.2,32,0.0005,1e-08,300,0.01,0.5829658605974396,0.2928237751468153,0.7007672634271099
Contrastive,0,0.2,100,0.4,32,0.0005,1e-08,300,0.01,0.5137624466571835,0.2828493674914082,0.7033248081841432
